"","X","CD.Name","Common.Name","NS.Probe.ID","Class.Name","Gene.Class","Cell.Type","CT.antigen","surface.marker","is.HK","IR.Innate","IR.Adaptive","IR.Humoral","IR.F","Adhesion","Antigen.Processing","B.Cell.Functions","Cell.Cycle","Cell.Functions","Chemokines","Complement","Cytokines","Cytotoxicity","Interleukins","Leukocyte.Functions","Macrophage.Functions","Microglial.Functions","NK.Cell.Functions","Pathogen.Defense","Regulation","Senescence","T.Cell.Functions","TLR","TNF.Super.family","Transporter.Functions","Immune.Response.Category","Annotation","Synonyms...Previous.Symbols","IR.Type","Cell.Type.April","Cell.Type.TCGA2"
"A2M",1,NA,"A2M","NM_000014.4:1685","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors, Innate immune response","FWP007, S863-7, CPAMD5","I",NA,NA
"ABCB1",2,"CD243","ABCB1","NM_000927.3:3910","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","PGY1, MDR1, CLCS, P-gp, CD243, GP170, ABC20",NA,NA,NA
"ABCF1",3,NA,"ABCF1","NM_001090.2:850","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","ABC50, EST123147",NA,NA,NA
"ABL1",4,NA,"ABL","NM_005157.3:3200","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Cell Cycle, Regulation, Senescence","Regulation of cell cycle, S phase and DNA replication, Senescence initiators","ABL, JTK7, c-ABL, p150",NA,NA,NA
"ADA",5,NA,"ADA","NM_000022.2:1300","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B-Cell Functions, T-Cell Functions","B-cell activation, B-cell differentiation, T-cell differentiation","",NA,NA,NA
"ADORA2A",6,NA,"ADORA2A","NM_000675.3:1095","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions","ADORA2, RDC8",NA,NA,NA
"AGK",7,NA,"AGK","NM_018238.3:816","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","MULK, FLJ10842",NA,NA,NA
"AICDA",8,NA,"AICDA","NM_020661.1:567","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B-Cell Functions","B-cell differentiation","HIGM2, CDA2, ARP2, AID",NA,NA,NA
"AIRE",9,NA,"APECED","NM_000383.2:1864","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","APECED, PGA1, APS1","H",NA,NA
"AKT3",10,NA,"AKT3","NM_181690.1:755","Endogenous","Immune Response - Cell Type specific","Tem",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","PKBG, RAC-gamma, PRKBG",NA,"Tem",NA
"ALAS1",11,NA,"ALAS","NM_000688.4:1615","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","ALAS3, ALAS",NA,NA,NA
"ALCAM",12,"CD166","CD166","NM_001627.3:789","Endogenous","Immune Response",NA,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adhesion","Adaptive immune response, Adhesion, CD molecules","CD166, MEMD","A",NA,NA
"AMBP",13,NA,"AMBP","NM_001633.3:597","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Negative regulation of immune response","ITI, ITIL, UTI, HCP, EDC1, HI30, IATIL, ITILC",NA,NA,NA
"AMICA1",14,NA,"AMICA1","NM_153206.2:620","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Regulation of immune response","Gm638, AMICA",NA,NA,NA
